ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
203.71.0.1,,TW,,Microsoft DNS 6.1.7601 (1DB15D39),,false,0.98,2019-03-23T12:22:47Z,2015-01-08T02:58:12Z
121.123.135.35,,MY,,,,false,0.96,2019-03-23T12:22:44Z,2015-01-08T02:58:13Z
211.135.41.50,,JP,,Microsoft DNS 6.0.6002 (17725FAC),,false,0.99,2019-03-23T12:22:45Z,2015-01-08T02:58:16Z
188.40.115.22,gloenggi.ch.,DE,,dnsmasq-2.45,,true,0.98,2019-03-23T12:22:42Z,2015-01-08T02:59:03Z
60.250.90.74,mail.long-yue.com.,TW,Taipei,9.4.1,,false,0.94,2019-03-23T12:22:44Z,2015-01-08T03:00:16Z
80.15.159.114,lmontsouris-656-1-58-114.w80-15.abo.wanadoo.fr.,FR,Paris,Orange,,false,0.90,2019-03-23T12:22:43Z,2015-01-08T03:03:13Z
112.171.175.135,,KR,,,,false,0.99,2019-03-23T12:22:47Z,2015-01-08T03:04:05Z
38.105.12.35,,US,,dnsmasq-2.48,,false,0.97,2019-03-23T12:22:43Z,2015-01-08T03:04:14Z
5.100.119.207,5-100-119-207.ipoe.vladlink.net.,RU,Vladivostok,dnsmasq-2.55,,false,0.97,2019-03-23T12:22:44Z,2015-01-08T03:06:44Z
79.190.224.66,isr66.internetdsl.tpnet.pl.,PL,Wawer,,,false,0.99,2019-03-23T12:22:43Z,2015-01-08T03:08:37Z
92.50.143.150,mail.gsfrb.ru.,RU,Ufa,,,false,0.99,2019-03-23T12:22:43Z,2015-01-08T03:11:32Z
134.39.190.58,ns2.columbiabasin.edu.,US,Kennewick,,,false,0.98,2019-03-23T12:22:44Z,2015-01-08T03:11:33Z
211.22.52.244,211-22-52-244.HINET-IP.hinet.net.,TW,Taipei,9.8.2rc1-RedHat-9.8.2-0.23.rc1.el6_5.1,,false,0.98,2019-03-23T12:22:45Z,2015-01-08T03:11:44Z
46.37.5.190,host190-5-37-46.serverdedicati.aruba.it.,IT,Arezzo,Microsoft DNS 6.0.6002 (17725FAC),,false,0.98,2019-03-23T12:22:47Z,2015-01-08T03:11:59Z
37.187.155.47,www.citexpress.net.,FR,,,,false,0.99,2019-03-23T12:22:43Z,2015-01-08T03:13:30Z
218.161.114.148,218-161-114-148.HINET-IP.hinet.net.,TW,Kaohsiung City,9.9.3-rl.156.01-P1-RedHat-9.9.3-3.P1.fc17,,true,0.98,2019-03-23T12:22:46Z,2015-01-08T03:14:54Z
91.230.243.11,mx1.chrisw.net.,GB,,dnsmasq-2.48,,true,0.97,2019-03-23T12:22:43Z,2015-01-08T03:15:39Z
209.36.106.3,,US,San Jose,,,false,0.97,2019-03-23T12:22:44Z,2015-01-08T03:15:45Z
92.86.10.222,,RO,Ploieşti,,,false,0.99,2019-03-23T12:22:44Z,2015-01-08T03:20:43Z
210.209.54.4,4.54.209.210-twnap.,TW,,,,false,0.98,2019-03-23T12:22:46Z,2015-01-08T03:25:50Z
211.233.58.67,,KR,,9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.1,,false,0.98,2019-03-23T12:22:47Z,2015-01-08T03:25:59Z
103.23.150.89,ns9.maharashtra.gov.in.,IN,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.98,2019-03-23T12:22:46Z,2015-01-08T03:26:56Z
